src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,pkt_count,pkt_size_avg,bytes_sent,bytes_received,conn_count_last_10s,same_dst_count,srv_serror_rate,dst_host_srv_count,dst_host_same_srv_rate,is_malicious,attack_type,country_src,country_dst,entropy,flow_id,honeypot_flag
44.88.231.239,110.199.172.46,3804,7326,TCP,670,6,1028,49882,16052,15,7,0.23,11,0.55,0,Normal,USA,UK,0.896,1,0
29.249.12.27,177.200.73.180,41426,7596,ICMP,6141,800,749,9394,38002,2,6,0.46,5,0.93,0,Normal,Russia,India,0.96,2,0
34.231.184.191,121.112.84.131,1569,7059,TCP,3750,728,1448,19722,45195,7,19,0.84,21,0.64,1,Normal,UK,Russia,0.962,3,0
22.46.73.82,60.77.30.244,21546,6977,UDP,3770,157,1334,25936,4843,38,14,0.53,13,0.89,0,Normal,India,Russia,0.817,4,0
61.5.19.44,65.4.101.186,20607,397,UDP,9749,877,1356,43047,1427,45,17,0.84,37,0.53,1,Normal,USA,UK,0.878,5,0
75.155.178.15,127.170.87.19,14988,1325,ICMP,8554,399,147,35878,10915,7,24,0.55,18,0.55,0,Normal,USA,UK,0.662,6,0
134.156.31.241,93.48.141.99,45893,4747,TCP,9555,846,953,15188,17116,39,16,0.01,45,0.99,0,Ransomware,Germany,USA,0.858,7,0
77.94.210.66,145.214.254.185,17631,6782,TCP,9256,839,757,8470,18880,35,14,0.61,46,0.33,1,Normal,USA,China,0.569,8,0
99.240.12.204,90.162.12.19,41199,6707,TCP,6606,320,974,10834,24021,25,11,0.71,49,0.1,0,Normal,Russia,Germany,0.355,9,0
45.178.15.66,88.2.137.245,18164,4136,ICMP,1978,566,1089,27437,20602,11,22,0.73,38,0.23,1,Normal,USA,UK,0.597,10,0
55.213.158.190,84.48.52.254,63930,6869,UDP,8907,857,350,811,30389,35,10,0.65,14,0.67,0,Normal,China,Germany,0.222,11,0
55.146.96.189,6.153.248.13,16223,4036,ICMP,554,838,1412,45973,7892,47,10,0.66,30,0.55,0,Ransomware,USA,Russia,0.741,12,0
63.21.143.91,171.183.167.196,34120,5709,ICMP,6849,209,1368,1421,11567,26,24,0.5,2,0.23,0,Normal,Russia,India,0.969,13,0
141.176.151.251,18.14.81.247,34228,1382,UDP,5756,703,1101,26686,24108,22,12,0.87,17,0.46,0,Normal,Russia,Russia,0.7,14,0
129.40.65.66,32.203.134.212,36456,1648,TCP,3424,947,1124,15612,43556,13,22,0.68,22,0.68,0,Normal,USA,Russia,0.295,15,0
236.22.146.18,133.198.225.82,16732,6676,ICMP,609,73,103,18605,3287,32,2,0.27,29,0.57,0,Normal,China,China,0.494,16,1
99.120.36.18,9.207.137.64,59672,6462,TCP,8857,370,224,42432,46420,9,4,0.98,22,0.55,0,Normal,UK,UK,0.255,17,0
29.26.83.176,184.25.119.201,12242,2233,TCP,2050,175,1274,7715,16497,16,16,0.67,24,0.25,0,SQL Injection,Russia,USA,0.191,18,0
